name;url
Persian.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/053_f2.png
Alolan Persian.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/053_f3.png
Psyduck.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png
Golduck.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png
Mankey.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png
Primeape.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png
Growlithe.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png
Arcanine.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png
Poliwag.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png
Poliwhirl.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png
Poliwrath.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png
Abra.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png
Kadabra.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png
Alakazam.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png
Mega Alakazam.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/065_f2.png
Machop.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png
Machoke.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png
Machamp.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png
Gigantamax Machamp.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/068_f2.png
Bellsprout.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png
Weepinbell.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png
Victreebel.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png
Tentacool.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png
Tentacruel.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png
Geodude.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png
Alolan Geodude.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/074_f2.png
Graveler.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png
Alolan Graveler.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/075_f2.png
Golem.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png
Alolan Golem.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/076_f2.png
Ponyta.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png
Galarian Ponyta.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/077_f2.png
Rapidash.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png
Galarian Rapidash.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/078_f2.png
Slowpoke.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png
Galarian Slowpoke.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/079_f2.png
Slowbro.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png
Galarian Slowbro.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/080_f2.png
Mega Slowbro.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/080_f3.png
Magnemite.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/081.png
Magneton.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/082.png
Farfetch'd.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png
Galarian Farfetched.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/083_f2.png
Doduo.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/084.png
Dodrio.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/085.png
Seel.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/086.png
Dewgong.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/087.png
Grimer.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/088.png
Alolan Grimer.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/088_f2.png
Muk.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/089.png
Alolan Muk.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/089_f2.png
Shellder.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/090.png
Cloyster.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/091.png
Gastly.png;https://assets.pokemon.com/assets/cms2/img/pokedex/full/092.png
